company,report_year,chunk_index,activity,Sub_activity_code
1&1 AG,2023,,,
A P MOLLER-MAERSK A/S,2024,1,Sea and coastal freight water transport,CCM 6.10
A P MOLLER-MAERSK A/S,2024,1,Retrofitting of sea and coastal freight and passenger water transport,CCM 6.12
A P MOLLER-MAERSK A/S,2024,1,Infrastructure enabling low-carbon water transport,CCM 6.16
A P MOLLER-MAERSK A/S,2024,1,Passenger and freight air transport,CCM 6.19
A P MOLLER-MAERSK A/S,2024,1,Freight rail transport,CCM 6.2
A P MOLLER-MAERSK A/S,2024,1,Freight transport services by road,CCM 6.6
A P MOLLER-MAERSK A/S,2024,1,"Installation, maintenance and repair of charging stations",CCM 7.4
A P MOLLER-MAERSK A/S,2024,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
A P MOLLER-MAERSK A/S,2024,1,Acquisition and ownership of buildings,CCM 7.7
AB VOLVO,2024,1,Manufacture of automotive and mobility components,CCM 3.18
AB VOLVO,2024,1,Manufacture of low carbon technology for transportation,CCM 3.3
AB VOLVO,2024,1,Manufacturing of batteries,CCM 3.4
AB VOLVO,2024,1,Manufacture of other low-carbon technologies,CCM 3.6
ABB LTD,2024,,,
"ACS, Actividades de Construcción y Servicios, S.A.",2023,,,
AIB Group plc,2023,1,Support activities for animal production,A1.6.2
AIB Group plc,2023,1,Manufacture of paper and paperboard,C17.1.2
AIB Group plc,2023,1,Manufacture of basic pharmaceutical products,C21.1.0
AIB Group plc,2023,1,Manufacture of electronic components,C26.1.1
AIB Group plc,2023,1,Manufacture of other general-purpose machinery,C28.2.9
AIB Group plc,2023,1,Other manufacturing,C32.9.9
AIB Group plc,2023,1,Development of building projects,F41.1.0
AIB Group plc,2023,1,Construction of roads and motorways,F42.1.1
AIB Group plc,2023,1,Construction of other civil engineering projects,F42.9.9
AIB Group plc,2023,1,Dispensing chemist in specialised stores,G47.7.3
AIB Group plc,2023,1,Passenger air transport,H51.1.0
AIB Group plc,2023,1,Other transportation support activities,H52.2.9
AIB Group plc,2023,1,Hotels and similar accommodation,I55.1.0
AIB Group plc,2023,1,Other telecommunications activities,J61.9.0
AIB Group plc,2023,1,Computer programming activities,J62.0.1
AIB Group plc,2023,1,Hospital activities,Q86.1.0
AIB Group plc,2023,1,Other human health activities,Q86.9.0
AIB Group plc,2023,1,Gambling and betting activities,R92.0.0
AIB Group plc,2023,1,Activities of other membership organisations,S94.9.9
AIRBUS SE,2024,1,Manufacturing of aircraft,CCM 3.21
AIRBUS SE,2024,1,Production of heat and cool from bioenergy,CCM 4.24
AIRBUS SE,2024,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.3
AIRBUS SE,2024,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
AIRBUS SE,2024,1,"Data processing, hosting and related activities",CCM 8.1
AIRBUS SE,2024,1,construction and safe operation of new nuclear installations,
AIRBUS SE,2024,1,construction or operation of electricity generation facilities using fossil gaseous fuels,
AIRBUS SE,2024,1,"construction, refurbishment and operation of heat generation facilities using fossil gaseous fuels",
AIRBUS SE,2024,1,"construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels",
AIRBUS SE,2024,1,"research, development, demonstration and deployment of innovative electricity generation facilities (nuclear)",
AIRBUS SE,2024,1,safe operation of existing nuclear installations,
AKWEL,2023,1,Manufacture of automotive and mobility components,3.18
AKWEL,2023,1,"Repair, refurbishment and remanufacturing",5.1
AKWEL,2023,1,Sale of spare parts,5.2
AKWEL,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
AKWEL,2023,1,Renovation of existing buildings,7.2
AKWEL,2023,1,"Installation, maintenance and repair of energy efficiency equipment",7.3
AKWEL,2023,1,Acquisition and ownership of buildings,7.7
AKZO NOBEL NV,2024,1,Remediation of contaminated sites and areas,2.4
AKZO NOBEL NV,2024,1,Manufacture of renewable energy technologies,3.1
AKZO NOBEL NV,2024,1,Manufacture of low carbon technologies for transport,3.3
AKZO NOBEL NV,2024,1,Manufacture of other low carbon technologies,3.6
AKZO NOBEL NV,2024,1,Provision of IT/OT data-driven solutions,4.1
AKZO NOBEL NV,2024,1,"Construction, extension and operation of waste water collection and treatment",5.3
AKZO NOBEL NV,2024,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
AKZO NOBEL NV,2024,1,Renovation of existing buildings,7.2
AKZO NOBEL NV,2024,1,"Installation, maintenance and repair of renewable energy technologies",7.6
AKZO NOBEL NV,2024,1,Acquisition and ownership of buildings,7.7
AKZO NOBEL NV,2024,1,Data-driven solutions for GHG emissions reductions,8.2
AKZO NOBEL NV,2024,1,Manufacturing paints and coatings,C20.3
AKZO NOBEL NV,2024,1,Manufacture of renewable energy technologies,CCM 3.1
AKZO NOBEL NV,2024,1,Manufacture of low carbon technologies for transport,CCM 3.3
AKZO NOBEL NV,2024,1,Manufacture of other low carbon technologies,CCM 3.6
AKZO NOBEL NV,2024,1,"Construction, extension and operation of waste water collection and treatment",CCM 5.3
AKZO NOBEL NV,2024,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
AKZO NOBEL NV,2024,1,Renovation of existing buildings,CCM 7.2
AKZO NOBEL NV,2024,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
AKZO NOBEL NV,2024,1,Acquisition and ownership of buildings,CCM 7.7
AKZO NOBEL NV,2024,1,Data-driven solutions for GHG emissions reductions,CCM 8.2
AKZO NOBEL NV,2024,1,Provision of IT/OT data-driven solutions,CE 4.1
AMAG Austria Metall AG,2023,1,Secondary aluminium recycling,CCA 3.8.
AMAG Austria Metall AG,2023,1,Manufacture of aluminium through primary alumina (bauxite) process,CCM 3.8
AMAG Austria Metall AG,2023,1,Manufacture of aluminium through primary alumina (bauxite) process,CCM 3.8.
ARCELORMITTAL SA,2024,1,Forest Management,1.3
ARCELORMITTAL SA,2024,1,Manufacture of energy efficient equipment for buildings,3.5
ARCELORMITTAL SA,2024,1,Manufacture of iron and steel,3.9
ARCELORMITTAL SA,2024,1,Electricity Generation from solar photovoltaic technology and wind power,4.1/4.3
ARCELORMITTAL SA,2024,1,Material recovery from non-hazardous waste,5.9
ARCELORMITTAL SA,2024,1,Construction of new buildings,7.1
ARCELORMITTAL SA,2024,1,Forest Management,CCM 1.3
ARCELORMITTAL SA,2024,1,Manufacture of energy efficient equipment for buildings,CCM 3.5
ARCELORMITTAL SA,2024,1,Manufacture of Iron and Steel,CCM 3.9
ARCELORMITTAL SA,2024,1,Electricity Generation from wind power and solar photovoltaic technology,CCM 4.1/4.3
ARCELORMITTAL SA,2024,1,Material recovery from non-hazardous waste,CCM 5.9
ARCELORMITTAL SA,2024,1,Construction of new building,CCM 7.1
ASML HOLDING N.V.,2024,1,criteria under Design for dismantling,2.4
ASML HOLDING N.V.,2024,1,criteria under Design for recyclability,2.5
ASML HOLDING N.V.,2024,1,criteria under Proactive substitution of hazardous substances,2.6
ASML HOLDING N.V.,2024,1,criteria under Information to customers,2.7
ASML HOLDING N.V.,2024,1,Electricity generation using solar photovoltaic technology,CCM 4.1
ASML HOLDING N.V.,2024,1,Transmission & distribution of electricity,CCM 4.9
ASML HOLDING N.V.,2024,1,buildings in scope for renovation ( ) met the substantial contribution criteria,CCM 7.2
ASML HOLDING N.V.,2024,1,Acquisition and ownership of buildings,CCM 7.7
ASML HOLDING N.V.,2024,1,"Manufacturing of electrical and electronic equipment for industrial, professional and consumer use",CE 1.2
ASML HOLDING N.V.,2024,1,"Repair, refurbishment and remanufacturing",CE 5.1
ASML HOLDING N.V.,2024,1,Sale of spare parts,CE 5.2
ASML HOLDING N.V.,2024,1,Sale of second-hand goods,CE 5.4
AT&S Austria Tech.&Systemtech.,2023,,,
ATOSS Software SE,2023,1,Manufacture of electrical and electronic equipment,1.2
ATOSS Software SE,2023,1,Production of electrical and electronic equipment,6.5
ATOSS Software SE,2023,1,"Carriage by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
ATOSS Software SE,2023,1,Manufacturer of electrical and electronic equipment,CE 1.2
"Acciona, S.A.",2023,,,
Acea S.p.A.,2023,,,
Acerinox S.A.,2023,1,"Activities falling under NACE subgroups , C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.52 qualify as transitional (eligible) activities under article 10(2) of Regulation (EU) 2020/852",C24.10
Acerinox S.A.,2023,1,Manufacture of iron and steel (CNAE 12.24),CCM 3.9
Ackermans & van Haaren,2023,1,Remediation of contaminated sites and areas,2.5
Ackermans & van Haaren,2023,1,Electricity generation from wind power,D35.11
Ackermans & van Haaren,2023,1,Transmission and Distribution of Electricity,D35.12
Ackermans & van Haaren,2023,1,Sorting and material recovery of non-hazardous waste,E38.32
Ackermans & van Haaren,2023,1,Renovation of existing buildings,F41
Ackermans & van Haaren,2023,1,Construction of new buildings,F41.1
Ackermans & van Haaren,2023,1,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",F42
Ackermans & van Haaren,2023,1,Infrastructure for rail transport,F42.12
Ackermans & van Haaren,2023,1,Transmission and Distribution of Electricity,J62.01
Ackermans & van Haaren,2023,1,Acquisition and ownership of buildings,L68
Addiko Bank AG,2023,,,
"Aena S.M.E., S.A.",2023,1,Urban waste water treatment,2.2
"Aena S.M.E., S.A.",2023,1,Remediation of contaminated sites and areas,2.4
"Aena S.M.E., S.A.",2023,1,Infrastructure enabling low-carbon road transport and public transport,6.15
"Aena S.M.E., S.A.",2023,1,Low-carbon airport infrastructure,6.17
"Aena S.M.E., S.A.",2023,1,Air transport ground handling operations,6.20
"Aena S.M.E., S.A.",2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of energy-efficient equipment",7.3
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of charging stations for electric vehicles in buildings",7.4
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of renewable energy technologies",7.6
"Aena S.M.E., S.A.",2023,1,Acquisition and ownership of buildings,7.7
"Aena S.M.E., S.A.",2023,1,Infrastructure enabling low-carbon road transport and public transport,CCM 6.15
"Aena S.M.E., S.A.",2023,1,Low carbon airport infrastructure,CCM 6.17
"Aena S.M.E., S.A.",2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.3
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of charging stations for electric vehicles in buildings",CCM 7.4
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
"Aena S.M.E., S.A.",2023,1,Acquisition and ownership of buildings,CCM 7.7
"Aena S.M.E., S.A.",2023,1,Production of alternative water resources for purposes other than human consumption,CE 2.2
"Aena S.M.E., S.A.",2023,1,Maintenance of roads and motorways,CE 3.4
Agrana Beteiligungs-AG,2023,1,0.0%,0.0
Agrana Beteiligungs-AG,2023,1,Manufacture of plastics in primary forms,3.17
Agrana Beteiligungs-AG,2023,1,Production of biogas and biofuels for transport and liquid biofuels,4.13
Agrana Beteiligungs-AG,2023,1,Production of heat/cool using waste heat,4.25
Agrana Beteiligungs-AG,2023,1,"Construction, extension and operation of water collection, treatment and supply systems",5.1
Agrana Beteiligungs-AG,2023,1,"Construction, extension and operation of wastewater collection and treatment systems",5.3
Agrana Beteiligungs-AG,2023,1,Anaerobic digestion of biowaste,5.7
Agrana Beteiligungs-AG,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
